Question,Answer
"Что такое бронхит?","Бронхит – это воспалительное заболевание дыхательной системы, а именно слизистой оболочки бронхов. На сегодняшний день бронхит – это одно из самых распространенных заболеваний органов дыхания."
"Какие есть формы бронхита?", "Различают две формы бронхита: острый (для него характерен увеличенный объем бронхиальной секреции, как следствие кашель и отделение мокроты); хронический (развивается в качестве осложнения острой формы, либо как результат длительного воздействия неинфекционных факторов, например, пыли)."
"Симптомы бронхита?", "Характерные для этого заболевания симптомы: первичный признак – кашель (в начале сухой с болезненными ощущениями, со временем кашель становится приступообразным с мокротой разного цвета в зависимости от факторов воспаления); недомогание, слабость, усталость; повышенная температура до 38º, у детей наблюдается повышение температуры до 40º; боли в мышцах."
"Через сколько дней уходят симптомы бронхита?", "Симптомы бронхита проходят в течение 3-5 дней."
"Как лечить бронхит?", "Для благоприятного лечения бронхита необходимо соблюдать домашний режим, часто проветривать помещение, где находится больной. Лечение включает в себя: обильное теплое питье для уменьшения общей интоксикации организма и разжижения мокроты для ее отхождения (чай с лимоном, отвар ромашки, морсы); дробное питание малыми порциями с наличием большого количества белка; жаропонижающие препараты при температуре более 38,5º; отхаркивающие препараты (сироп корня солодки, Линкас, Доктор Мом), муколитики (Лазолван, Амбраксол); антибиотики. При запущенной болезни и отсутствии правильного лечения возможно развитие осложнений в виде бронхиальной астмы, пневмонии, рака легких, абсцесса, туберкулеза, дыхательной или сердечной недостаточности."
"Профилактика при бронхите?", "В качестве профилактики бронхита рекомендуется: бросить курить; не переохлаждаться; укрепление иммунитета; проветривание помещений, в которых живете и работаете; заниматься дыхательной гимнастикой."
"Что такое дальнозоркость?", "Дальнозоркость (гиперметропия) — это дефект зрения, при котором хорошо видно лишь расположенные вдали объекты, а близко расположенные объекты видно плохо. Разновидность аметропии. При этом, нарушение зрения относительно предметов вблизи сейчас является ключевой особенностью для употребления этого названия, то есть когда человек и вдали видит не хорошо, ему всё равно могут ставить диагназ "дальнозоркость". Люди, страдающие лишь возрастной дальнозоркостью (пресбиопия), хорошо видят вдаль."
"Причины развития дальнозоркости?", "Дальнозоркость развивается из-за уплотнения хрусталика глаза и утраты его эластичности. Характерные для заболевания «гиперметропия» причины:  наследственность; уменьшенный размер глазного яблока по передне-задней оси (вызывает гиперметропию у детей, чаще всего у младенцев); уменьшение аккомодативной способности глаза (которая обеспечивает четкость зрения); «возрастная дальнозоркость» (проявляется после 40 лет)."
"Симптомы дальнозоркости?", "Характерные для дальнозоркости симптомы: плохое зрение вблизи; плохое зрение вдаль (отмечается при высокой степени дальнозоркости); повышенная утомляемость глаз при чтении, письме, работе за компьютером; перенапряжение глаз во время работы (головные боли, жжение в глазах); амблиопия («ленивый глаз»); частые воспалительные заболевания глаз (ячмень, конъюнктивит)."
"Как определить дальнозоркость?", "Чтобы определить, как вылечить дальнозоркость, врач-офтальмолог назначает: проверку зрения на фороптере; авторефрактометрию (исследование роговицы глаза); кератометрию (измерение оптической силы роговицы); эхобиометрию (измерение длины глаза)."
