,Question,Answer
0,Что такое бронхит?,"Бронхит – это воспалительное заболевание дыхательной системы, а именно слизистой оболочки бронхов. На сегодняшний день бронхит – это одно из самых распространенных заболеваний органов дыхания."
1,Какие есть формы бронхита?,"Различают две формы бронхита: острый (для него характерен увеличенный объем бронхиальной секреции, как следствие кашель и отделение мокроты); хронический (развивается в качестве осложнения острой формы, либо как результат длительного воздействия неинфекционных факторов, например, пыли)."
2,Через сколько дней уходят симптомы бронхита?,Симптомы бронхита проходят в течение 3-5 дней.
3,Как лечить бронхит?,"Для благоприятного лечения бронхита необходимо соблюдать домашний режим, часто проветривать помещение, где находится больной. Лечение включает в себя: обильное теплое питье для уменьшения общей интоксикации организма и разжижения мокроты для ее отхождения (чай с лимоном, отвар ромашки, морсы); дробное питание малыми порциями с наличием большого количества белка; жаропонижающие препараты при температуре более 38,5º; отхаркивающие препараты (сироп корня солодки, Линкас, Доктор Мом), муколитики (Лазолван, Амбраксол); антибиотики. При запущенной болезни и отсутствии правильного лечения возможно развитие осложнений в виде бронхиальной астмы, пневмонии, рака легких, абсцесса, туберкулеза, дыхательной или сердечной недостаточности."
4,Профилактика при бронхите?,"В качестве профилактики бронхита рекомендуется: бросить курить; не переохлаждаться; укрепление иммунитета; проветривание помещений, в которых живете и работаете; заниматься дыхательной гимнастикой."
5,Что такое дальнозоркость?,"Дальнозоркость (гиперметропия) — это дефект зрения, при котором хорошо видно лишь расположенные вдали объекты, а близко расположенные объекты видно плохо. Разновидность аметропии. При этом, нарушение зрения относительно предметов вблизи сейчас является ключевой особенностью для употребления этого названия, то есть когда человек и вдали видит не хорошо, ему всё равно могут ставить диагназ ""дальнозоркость"". Люди, страдающие лишь возрастной дальнозоркостью (пресбиопия), хорошо видят вдаль."
6,Причины развития дальнозоркости?,"Дальнозоркость развивается из-за уплотнения хрусталика глаза и утраты его эластичности. Характерные для заболевания «гиперметропия» причины:  наследственность; уменьшенный размер глазного яблока по передне-задней оси (вызывает гиперметропию у детей, чаще всего у младенцев); уменьшение аккомодативной способности глаза (которая обеспечивает четкость зрения); «возрастная дальнозоркость» (проявляется после 40 лет)."
7,Симптомы дальнозоркости?,"Характерные для дальнозоркости симптомы: плохое зрение вблизи; плохое зрение вдаль (отмечается при высокой степени дальнозоркости); повышенная утомляемость глаз при чтении, письме, работе за компьютером; перенапряжение глаз во время работы (головные боли, жжение в глазах); амблиопия («ленивый глаз»); частые воспалительные заболевания глаз (ячмень, конъюнктивит)."
8,Как определить дальнозоркость?,"Чтобы определить, как вылечить дальнозоркость, врач-офтальмолог назначает: проверку зрения на фороптере; авторефрактометрию (исследование роговицы глаза); кератометрию (измерение оптической силы роговицы); эхобиометрию (измерение длины глаза)."
9,Как диагностировать дальнозоркость?,"Чтобы определить, как вылечить дальнозоркость, врач-офтальмолог назначает: проверку зрения на фороптере; авторефрактометрию (исследование роговицы глаза); кератометрию (измерение оптической силы роговицы); эхобиометрию (измерение длины глаза)."
10,Как лечить дальнозоркость?,В большинстве случаев проводится коррекция дальнозоркости с помощью: очков; контактных линз. Полное излечение возможно только оперативными методами: замена прозрачного хрусталика; термокератопластика (тепловое воздействие радиоволн низкой энергии); термокератокоагуляция (увеличение преломляющей силы роговицы); имплантация положительной линзы.
11,Профилактика при дальнозоркости?,Для профилактики дальнозоркости рекомендуется: не читать/работать за компьютером в плохо освещенном помещении;  чередовать зрительное напряжение с отдыхом; через 20-30 минут работы проводить гимнастику для глаз.
